filename,status,result,created,updated,comments,score,comments2,score2,fungi,reason,bytes,words,tokens
Characterization+of+the+genes+for+enzymes+involved+in+the+degradation+of+azo+dyes+by+nocardioforms_.txt,processed4,,2024-09-17 19:05:44.370984,2024-09-22 02:34:11.034492,"The paper is primarily focused on the identification of genetic elements involved in the biodegradation of triphenylmethane dyes, specifically crystal violet, by fungal and bacterial species. It discusses the mechanisms of biodegradation, gene expression in various microbial hosts, and the potential for bioremediation, which are key aspects of mycoremediation.",10.0,"The paper focuses on the experimental study of biodegradation and decolorization of the triphenylmethane dye crystal violet by the fungal species A. orientalis. It describes the identification of genetic elements involved in this process, provides experimental data on the decolorization capacity, and discusses the enzymatic mechanisms at play, including the activity of specific genes and enzymes related to the degradation process.",10.0,No,"The paper focuses on the use of bacteria, specifically an Amycolatopsis species, for decolorizing triphenylmethane dyes, and does not mention the use of fungi for dye remediation.",43031.0,6252.0,12085.0
Anaerobic+and+aerobic+treatment+of+a+simulated+textile+effluent_.txt,processed4,,2024-09-17 19:05:44.370984,2024-09-22 02:34:36.228701,"The paper primarily focuses on the modeling and control of aeration processes in textile industry effluent treatment, which is not specifically related to mycoremediation. While it addresses effluent treatment, it does not discuss the use of fungi or mycelium, which are central to mycoremediation.",2.0,"The paper focuses on aeration and control mechanisms for textile industry effluents, and while it discusses the experimental setup and modeling, it does not involve any direct experiments with fungal species or mycoremediation. There is no mention of fungi, bioremediation, or the specific enzymes related to fungal degradation.",1.0,No,The paper discusses aeration and modeling of textile industry effluents but does not mention the use of fungi for dye remediation.,7943.0,1260.0,2322.0
Azo+dyes%3A+past%2C+present+and+the+future_.txt,processed4,,2024-09-17 19:05:44.370984,2024-09-22 02:34:21.629822,"The paper focuses primarily on azo dyes, their synthesis, classification, and applications in the textile industry. It does not discuss mycoremediation or related fungal applications, which are central to the topic of mycoremediation.",1.0,"The paper focuses primarily on the synthesis, classification, and utilization of azo dyes in the textile industry, without any reported experimental studies on mycoremediation or the role of fungal species in degrading or decolorizing dyes or pollutants.",1.0,No,"The paper discusses azo dyes in the context of textiles, their synthesis, and various applications, but it does not mention the use of fungi for dye remediation.",41527.0,6208.0,11755.0
Treatment+of+exhausted+reactive+dye+bath+effluent+using+anaerobic+digestion%3A+laboratory+and+full+scale+trials_.txt,processed4,,2024-09-17 19:05:44.370984,2024-09-22 02:35:37.018582,"The paper is primarily focused on biological remediation techniques, specifically discussing the role of fungi, bacteria, and yeast in the biodegradation and decolorization of dyes in textile wastewater. It provides detailed mechanisms of how these microorganisms contribute to the treatment of textile effluents, making it highly relevant to the field of mycoremediation.",10.0,"The paper extensively discusses the biological remediation of dyes, specifically focusing on the role of fungi in degrading and decolorizing a variety of textile dyes. It highlights the mechanisms of action, including the enzymes involved such as laccase, lignin peroxidase, and manganese peroxidase, and cites specific fungal species known for their efficacy in bioremediation processes.",10.0,Yes,"The paper discusses the use of fungi, specifically white-rot fungi, for the biodegradation and decolorization of dyes in textile wastewater, highlighting various fungal species capable of degrading different dye compounds.",32223.0,4637.0,8770.0
Acid+dye+removal%3A+comparison+of+surfactant-modified+mesoporous+FSM-16+with+activated+carbon+derived+from+rice+husk_.txt,processed4,,2024-09-17 19:05:44.370984,2024-09-22 02:31:18.999891,The paper focuses on the adsorption of Acid Red 88 dye using surfactant-modified bentonite and does not address mycoremediation or the use of fungi in the remediation process.,1.0,The paper focuses on the adsorption of Acid Red 88 dye using surfactant-modified bentonite (HDTMA-bentonite) and does not involve any experimental study of mycoremediation or the use of fungal species for bioremediation.,1.0,No,"The paper discusses the use of HDTMA-modified bentonite for dye adsorption, specifically Acid Red 88, and does not mention the use of fungi for dye remediation.",43977.0,6603.0,12691.0
Ultrastructure+of+the+kinetoplast+and+mitochondrion+in+different+developmental+stages+of+Trypanosoma+brucei_.txt,processed4,,2024-09-17 19:05:44.370984,2024-09-22 02:31:13.099822,"The paper primarily discusses the biology and morphology of Trypanosoma brucei in tsetse flies, with no mention of mycoremediation or fungal involvement in bioremediation processes.",1.0,"The paper focuses on Trypanosoma brucei and its lifecycle within tsetse flies, discussing cellular morphology and genetic exchange. It does not address mycoremediation or the use of fungi in bioremediation processes.",1.0,No,"The paper discusses the biology and life cycle of Trypanosoma brucei in tsetse flies, but does not mention the use of fungi for dye remediation.",46441.0,6784.0,11799.0
Occupational+exposures+and+the+risk+of+ovarian+cancer+in+Sweden_.txt,processed4,,2024-09-17 19:05:44.370984,2024-09-22 02:28:45.320479,"The paper focuses on the epidemiology of mesothelioma and its association with occupational asbestos exposure, which is not related to mycoremediation. Mycoremediation involves the use of fungi to remediate contaminated environments, and this paper does not address any aspect of that topic.",1.0,"The paper focuses on the epidemiology of mesothelioma, specifically its incidence related to occupational exposure to asbestos in Sweden. It does not discuss mycoremediation, fungal species, or any experimental studies related to bioremediation using fungi.",1.0,No,"The paper discusses the association of occupational exposures, specifically asbestos, with mesothelioma incidence in Sweden and does not mention the use of fungi for dye remediation.",95973.0,15974.0,39429.0
Induction+of+Laccase+Production+by+T.+pubescens_.txt,processed4,,2024-09-17 19:05:44.370984,2024-09-22 02:32:50.569345,"The paper focuses on the induction of laccase production by the fungus Agaricus blazei, which is directly related to mycoremediation processes. Laccases are enzymes that play a significant role in the degradation of lignin and other phenolic compounds, which are often associated with pollutants in bioremediation efforts.",10.0,"The paper focuses on the experimental study of laccase production by Agaricus blazei, exploring the effects of various inducers on enzyme activity. It examines the role of laccase, a key enzyme in mycoremediation, in degrading phenolic compounds, which is directly relevant to bioremediation applications. The study includes detailed experiments with specific concentrations of nitrogen and copper, measuring the laccase activity in response to different aromatic compounds, and highlights the significance of laccase in fungal degradation processes.",10.0,Yes,"The paper discusses the production and induction of laccase by the fungus Agaricus blazei, which is relevant to dye remediation processes as laccase is known for its role in degrading various compounds, including dyes.",35363.0,5402.0,11201.0
Evolutionary+domain+fusion+expanded+the+substrate+specificity+of+the+transmembrane+electron+transporter+DsbD_.txt,processed4,,2024-09-17 19:05:44.370984,2024-09-22 02:33:39.053973,"The paper focuses on the identification and analysis of human fusion proteins of prokaryotic origin, which is not related to mycoremediation. It discusses gene fusion, evolutionary biology, and functional protein analysis rather than fungal remediation techniques.",1.0,"The paper focuses on human fusion proteins of prokaryotic origin and their evolutionary significance, rather than experimental studies involving mycoremediation or fungal species for bioremediation.",1.0,No,"The paper focuses on identifying and analyzing human fusion proteins of prokaryotic origin, with no mention or use of fungi for dye remediation.",37070.0,5093.0,11191.0
A+new+screening+system+for+NAD%28P%29H%3Aquinone+oxidoreductase+%28NQO1%29-directed+antitumor+quinones%3A+identification+of+a+new+aziridinylbenzoquinone%2C+RH1%2C+as+a+NQO1-directed+antitumor+agent_.txt,processed4,,2024-09-17 19:05:44.370984,2024-09-22 02:29:18.497007,The paper focuses primarily on the structure-based development of anticancer drugs related to NAD(P)H:quinone oxidoreductase 1 (QR1) and does not mention or relate to mycoremediation in any capacity.,1.0,The paper focuses on the structure-based development of anticancer drugs involving NAD(P)H:quinone oxidoreductase and does not discuss or conduct experimental studies related to mycoremediation or the use of fungi in bioremediation.,1.0,No,The paper discusses the development of anticancer drugs and the enzyme NAD(P)H:quinone oxidoreductase but does not mention the use of fungi for dye remediation.,44126.0,6644.0,12395.0
